"id" "session" "task_type" "temp_ori" "trial" "X1" "E1" "X2" "E2" "EffortfulOptionChosen" "rt"
"135" "AF7HCRC1" "1" "Hypothetical" "Prospective" "4" 2.5 0 15 175 0 1.40659739996772
"136" "AF7HCRC1" "1" "Hypothetical" "Prospective" "5" 7.5 0 15 270 0 2.28164949995698
"137" "AF7HCRC1" "1" "Hypothetical" "Prospective" "5" 6.5 0 15 270 0 2.96778140001698
"138" "AF7HCRC1" "1" "Hypothetical" "Prospective" "5" 5.5 0 15 270 0 1.60547879996011
"139" "AF7HCRC1" "1" "Hypothetical" "Prospective" "5" 4.5 0 15 270 0 1.94241979997605
"140" "AF7HCRC1" "1" "Hypothetical" "Prospective" "5" 2.5 0 15 270 0 3.19804569997359
"141" "AF7HCRC1" "1" "Hypothetical" "Prospective" "6" 7.5 0 15 75 0 4.08568270003889
"142" "AF7HCRC1" "1" "Hypothetical" "Prospective" "6" 6.5 0 15 75 0 1.42225699999835
"143" "AF7HCRC1" "1" "Hypothetical" "Prospective" "6" 5.5 0 15 75 0 1.77572830003919
"144" "AF7HCRC1" "1" "Hypothetical" "Prospective" "6" 4.5 0 15 75 0 1.67090689996257
"145" "AF7HCRC1" "1" "Hypothetical" "Prospective" "6" 2.5 0 15 75 0 1.71829019999132
"146" "AF7HCRC1" "1" "Hypothetical" "Prospective" "6" 0.5 0 15 75 0 3.0628189999843
"147" "AF7HCRC2" "2" "Real" "Prospective" "1" 7.5 0 15 75 1 6.55381310003577
"148" "AF7HCRC2" "2" "Real" "Prospective" "1" 8.5 0 15 75 1 3.90242950001266
"149" "AF7HCRC2" "2" "Real" "Prospective" "1" 9.5 0 15 75 1 3.19550650002202
"150" "AF7HCRC2" "2" "Real" "Prospective" "1" 10.5 0 15 75 0 3.19356400001561
"151" "AF7HCRC2" "2" "Real" "Prospective" "1" 10 0 15 75 0 2.12095219996991
"152" "AF7HCRC2" "2" "Real" "Prospective" "1" 9.5 0 15 75 1 2.57927760004532
"153" "AF7HCRC2" "2" "Real" "Prospective" "1" 9.75 0 15 75 1 1.93972510000458
"154" "AF7HCRC2" "2" "Real" "Prospective" "1" 10 0 15 75 0 8.77845620003063
"155" "AF7HCRC2" "2" "Real" "Prospective" "1" 9.875 0 15 75 1 2.50569680001354
"156" "AF7HCRC2" "2" "Real" "Prospective" "2" 7.5 0 15 115 1 4.2042519999668
"157" "AF7HCRC2" "2" "Real" "Prospective" "2" 8.5 0 15 115 1 3.5466802000301
"158" "AF7HCRC2" "2" "Real" "Prospective" "2" 9.5 0 15 115 0 2.41123389999848
"159" "AF7HCRC2" "2" "Real" "Prospective" "2" 9 0 15 115 0 7.71330699999817
"160" "AF7HCRC2" "2" "Real" "Prospective" "2" 8.5 0 15 115 1 3.2195174000226
"161" "AF7HCRC2" "2" "Real" "Prospective" "2" 8.75 0 15 115 1 7.6178853000165
"162" "AF7HCRC2" "2" "Real" "Prospective" "2" 9 0 15 115 0 2.72076679999009
"163" "AF7HCRC2" "2" "Real" "Prospective" "2" 8.875 0 15 115 1 4.08457000000635
"164" "AF7HCRC2" "2" "Real" "Prospective" "3" 7.5 0 15 270 0 2.53383110003779
"165" "AF7HCRC2" "2" "Real" "Prospective" "3" 6.5 0 15 270 0 4.83790570002748
"166" "AF7HCRC2" "2" "Real" "Prospective" "3" 5.5 0 15 270 0 1.36295520002022
"167" "AF7HCRC2" "2" "Real" "Prospective" "3" 4.5 0 15 270 0 2.16862070001662
"168" "AF7HCRC2" "2" "Real" "Prospective" "3" 2.5 0 15 270 0 2.37044670002069
"169" "AF7HCRC2" "2" "Real" "Prospective" "5" 7.5 0 15 45 1 2.63419930002419
"170" "AF7HCRC2" "2" "Real" "Prospective" "5" 8.5 0 15 45 1 2.64154909999343
"171" "AF7HCRC2" "2" "Real" "Prospective" "5" 9.5 0 15 45 1 2.38787779997801
"172" "AF7HCRC2" "2" "Real" "Prospective" "5" 10.5 0 15 45 1 3.03212310001254
"173" "AF7HCRC2" "2" "Real" "Prospective" "5" 12.5 0 15 45 0 3.46598789998097
"174" "AF7HCRC2" "2" "Real" "Prospective" "5" 11.5 0 15 45 1 4.9438969999901
"175" "AF7HCRC2" "2" "Real" "Prospective" "5" 12 0 15 45 0 2.41610509995371
